Brand, Chipset, Price, Number of Ratings, Title 
ASUS,GTX1050,$362.99 –,(125),ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G)
ASUS,RTX2060,$638.64 (10 Offers)–,(136),ASUS GeForce RTX 2060 Overclocked 6G GDDR6 Dual-Fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-RTX2060-O6G-EVO)
GIGABYTE,RTX2060,$699.99 (17 Offers)–,(92),GIGABYTE Geforce RTX 2060 OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR6 GV-N2060OC-6GD Video Card
ASRock,RTX2060,$2269.99 –,(5),ASRock OC Formula Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card RX6900XT OCF 16G
MSI,GTX1650,$327.33 (16 Offers)–,(17),MSI Ventus GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1650 D6 VENTUS XS OCV1
MSI,GTX1660,$625.97 (13 Offers)–,(113),MSI Gaming GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1660 SUPER GAMING X
MSI,RTX2070,$1584.99 (4 Offers)–,(56),MSI GeForce RTX 2070 SUPER 8GB GDDR6 PCI Express 3.0 x16 SLI Support Video Card RTX 2070 SUPER GAMING X TRIO
GIGABYTE,RTX2070,$483.19 (7 Offers)–,(12),GIGABYTE Radeon RX 5500 XT OC 4G (rev. 2.0) Graphics Card PCIe 4.0 4GB 128-Bit GDDR6 GV-R55XTOC-4GD Video Card
ASUS,RTX2070,$2559.99 –,(2),ASUS ROG Strix Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 CrossFireX Support ATX Video Card ROG-STRIX-LC-RX6900XT-T16G-GAMING
GIGABYTE,GT1030,$118.07 (15 Offers)–,(83),GIGABYTE GeForce GT 1030 2GB GDDR5 PCI Express 3.0 x16 Video Card GV-N1030OC-2GI
ASUS,GT1030,$1193.00 (6 Offers)–,(28),ASUS ROG STRIX Radeon RX 6700 XT OC Edition Gaming Graphics Card (AMD RDNA 2 PCIe 4.0 12GB GDDR6 HDMI 2.1 DisplayPort 1.4a Axial-tech Fan Design 2.9-slot Super Alloy Power II GPU Tweak II)
PowerColor,GT1030,$3285.59 (4 Offers)–,(12),PowerColor Red Devil AMD Radeon RX 6900 XT Ultimate Gaming Graphics Card with 16GB GDDR6 Memory Powered by AMD RDNA 2 HDMI 2.1 (AXRX 6900XTU 16GBD6-3DHE/OC)
GIGABYTE,GTX1660,$501.79 (19 Offers)–,(46),GIGABYTE GeForce GTX 1660 OC 6G Graphics Card 2 x WINDFORCE Fans 6GB 192-Bit GDDR5 GV-N1660OC-6GD Video Card
GIGABYTE,GTX1660,$1800.14 (6 Offers)–,(13),GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card WINDFORCE 3X Cooling System 16GB 256-bit GDDR6 GV-R68XTGAMING OC-16GD Video Card Powered by AMD RDNA 2 HDMI 2.1
ASUS,GTX1660,$1147.00 (7 Offers)–,(22),ASUS TUF Gaming Radeon RX 6700 XT OC Edition Graphics Card (AMD RDNA 2 PCIe 4.0 12GB GDDR6 HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings All-aluminum Shroud Reinforced Frame GPU Tweak II)
ASRock,GTX1660,$1255.99 (4 Offers)–,(13),ASRock Radeon RX 6700 XT Phantom Gaming D Graphic Card 12GB GDDR6 VRAM AMD RDNA2 (RX6700XT PGD 12GO)
ASUS,GTX1660,$638.36 (6 Offers)–,(145),ASUS TUF Gaming GeForce GTX 1660 SUPER Overclocked 6GB Edition HDMI DP DVI Gaming Graphics Card (TUF-GTX1660S-O6G-GAMING)
ASRock,GTX1660,$2199.99 (2 Offers)–,(17),ASRock Radeon RX 6900 XT PHANTOM GAMING D Graphics Card 16GB GDDR6 AMD RDNA2 (RX6900XT PGD 16GO)
GIGABYTE,RTX2060,$940.99 (5 Offers)–,(31),GIGABYTE GeForce RTX 2060 6GB GDDR6 PCI Express 3.0 x16 ATX Video Card GV-N2060WF2OC-6GD R2
ASUS,GT1030,$122.48 (12 Offers)–,(49),ASUS GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card (PH-GT1030-O2G)
GIGABYTE,GT1030,$2159.99 (8 Offers)–,Unknown,GIGABYTE AORUS Radeon RX 6900 XT 16GB GDDR6 PCI Express 4.0 x16 ATX Video Card GV-R69XTAORUS M-16GD
ASUS,GTX1050,$273.00 (10 Offers)–,(5),ASUS Cerberus GeForce GTX 1050 Ti 4GB GDDR5 Gaming Graphics Card CERBERUS-GTX1050TI-A4G
MSI,GTX1650,$347.83 (12 Offers)–,(1),MSI GeForce GTX 1650 D6 VENTUS XS OCV1 Graphics Card PCI-E VR & 4K HDR Ready Video Card
GIGABYTE,GTX1650,$394.12 (12 Offers)–,(86),GIGABYTE GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 x16 Low Profile Ready Video Card GV-N1656OC-4GL
MSI,RTX2070,$1795.00 (1 Offers)–,(255),MSI GeForce RTX 2070 SUPER 8GB GDDR6 PCI Express 3.0 x16 SLI Support Video Card RTX 2070 Super GAMING X
